BiomeID,bd,clay,silt,soc
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
-9999,-9999,-9999,-9999,-9999
